period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,region
2025-04-26,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-46030,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,319384,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,D,Demand,Central,Central,319561,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,319753,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,319431,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,319384,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,311803,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,311789,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,311893,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,311751,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,311803,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,285616,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,286659,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,286865,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,286185,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,285616,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-33768,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-32902,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-32888,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-33246,megawatthours,New York
2025-04-27,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-33768,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,337969,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,D,Demand,Central,Central,338115,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,338108,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,338073,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,337969,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,329618,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,329849,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,329866,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,329759,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,329618,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,296099,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,293905,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,293366,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,294839,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,296099,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-41870,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-44210,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-44742,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-43234,megawatthours,New York
2025-04-28,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-41870,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,351109,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,D,Demand,Central,Central,350441,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,350034,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,350806,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,351109,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,351809,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,350992,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,350472,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,351435,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,351809,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,325378,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,325781,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,325429,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,325484,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,325378,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-25731,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-24660,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-24605,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-25322,megawatthours,New York
2025-04-29,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-25731,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,344858,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,D,Demand,Central,Central,345204,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,345429,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,345012,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,344858,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,332704,megawatthours,New York
2025-04-30,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,334107,megawatthours,New York
