period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,region
2025-07-21,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1630356,megawatthours,Houston
2025-07-21,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1631939,megawatthours,Houston
2025-07-21,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1632955,megawatthours,Houston
2025-07-21,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1631880,megawatthours,Houston
2025-07-21,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1626844,megawatthours,Houston
2025-07-21,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1625123,megawatthours,Houston
2025-07-21,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1631880,megawatthours,Houston
2025-07-21,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1631880,megawatthours,Houston
2025-07-21,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-655,megawatthours,Houston
2025-07-21,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-655,megawatthours,Houston
2025-07-22,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1644232,megawatthours,Houston
2025-07-22,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1643724,megawatthours,Houston
2025-04-23,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,82526,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,D,Demand,Central,Central,82292,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,82078,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,82443,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,82526,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,85070,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,84927,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,84762,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,85053,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,85070,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,47996,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,48027,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,47826,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,48194,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,47996,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-34530,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-34265,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-34252,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-34249,megawatthours,Phoenix
2025-04-23,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-34530,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,82493,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,D,Demand,Central,Central,82701,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,82848,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,82565,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,82493,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,83358,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,83363,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,83391,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,83342,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,83358,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,50554,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,50134,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,50073,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,50313,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,50554,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-31939,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-32567,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-32775,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-32252,megawatthours,Phoenix
2025-04-24,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-31939,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,81015,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,D,Demand,Central,Central,81063,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,81084,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,81046,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,81015,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,83796,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,83894,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,83938,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,83927,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,83796,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,53346,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,53416,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,53425,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,53203,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,53346,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-27669,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-27647,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-27659,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-27843,megawatthours,Phoenix
2025-04-25,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-27669,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,72838,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,D,Demand,Central,Central,73567,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,74058,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,73162,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,72838,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,76979,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,76720,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,76741,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,76773,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,76979,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,57966,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,57601,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,57282,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,57830,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,57966,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-14872,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-15966,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-16776,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-15332,megawatthours,Phoenix
2025-04-26,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-14872,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,67633,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,D,Demand,Central,Central,67480,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,67435,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,67559,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,67633,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,71372,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,71952,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,72105,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,71678,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,71372,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,56999,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,57470,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,57680,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,57202,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,56999,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-10634,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-10010,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-9755,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-10357,megawatthours,Phoenix
2025-04-27,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-10634,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,75494,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,D,Demand,Central,Central,75340,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,75163,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,75436,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,75494,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,75073,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,74949,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,74959,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,74974,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,75073,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,55699,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,55030,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,54981,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,55440,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,55699,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-19795,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-20310,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-20182,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-19996,megawatthours,Phoenix
2025-04-28,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-19795,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,79864,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,D,Demand,Central,Central,79502,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,79294,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,79717,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,79864,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,79845,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,79609,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,79424,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,79755,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,79845,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,59730,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,59494,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,59363,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,59556,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,59730,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-20134,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-20008,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-19931,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-20161,megawatthours,Phoenix
2025-04-29,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-20134,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,91101,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,D,Demand,Central,Central,91191,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,91146,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,91137,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,91101,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,83994,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,83810,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,83695,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,83903,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,83994,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,67055,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,66538,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,66208,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,66750,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,67055,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-16097,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-16704,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-17001,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-16438,megawatthours,Phoenix
2025-04-30,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-16097,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,87428,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,D,Demand,Central,Central,86725,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,86379,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,87083,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,87428,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,89050,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,88849,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,88694,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,88962,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,89050,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,64957,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,65664,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,65889,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,65440,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,64957,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-22471,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-21061,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-20478,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-21643,megawatthours,Phoenix
2025-05-01,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-22471,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,89109,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,D,Demand,Central,Central,89066,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,89122,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,89072,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,89109,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,88416,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,88342,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,88435,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,88287,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,88416,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,67164,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,66384,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,66408,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,66677,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,67164,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-21945,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-22682,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-22714,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-22395,megawatthours,Phoenix
2025-05-02,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-21945,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,87848,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,D,Demand,Central,Central,87800,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,87767,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,87832,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,87848,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,87610,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,86997,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,86666,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,87389,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,87610,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,70787,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,NG,Net generation,Central,Central,70737,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,NG,Net generation,Eastern,Eastern,70518,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,NG,Net generation,Mountain,Mountain,70830,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,NG,Net generation,Pacific,Pacific,70787,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,TI,Total interchange,Arizona,Arizona,-17061,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,TI,Total interchange,Central,Central,-17063,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,TI,Total interchange,Eastern,Eastern,-17249,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,TI,Total interchange,Mountain,Mountain,-17002,megawatthours,Phoenix
2025-05-03,AZPS,Arizona Public Service Company,TI,Total interchange,Pacific,Pacific,-17061,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,76402,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,D,Demand,Central,Central,77745,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,D,Demand,Eastern,Eastern,78499,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,D,Demand,Mountain,Mountain,77002,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,D,Demand,Pacific,Pacific,76402,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Arizona,Arizona,79756,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Central,Central,80801,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Eastern,Eastern,81195,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Mountain,Mountain,80410,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,DF,Day-ahead demand forecast,Pacific,Pacific,79756,megawatthours,Phoenix
2025-05-04,AZPS,Arizona Public Service Company,NG,Net generation,Arizona,Arizona,63270,megawatthours,Phoenix
